Pattern_ID,Pattern_Name,Track_Type,Segment_1,Time_1,Segment_2,Time_2,Segment_3,Time_3,Segment_4,Time_4,Segment_5,Time_5,Segment_6,Time_6,Segment_7,Time_7,Segment_8,Time_8,Segment_9,Time_9,Segment_10,Time_10,Segment_11,Time_11,Segment_12,Time_12,Segment_13,Time_13,Segment_14,Time_14,Segment_15,Time_15,Segment_16,Time_16,Segment_17,Time_17,Segment_18,Time_18,Segment_19,Time_19,Segment_20,Time_20,Segment_21,Time_21,Segment_22,Time_22,Segment_23,Time_23,Segment_24,Time_24,Segment_25,Time_25,Segment_26,Time_26,Segment_27,Time_27,Segment_28,Time_28,Segment_29,Time_29,Segment_30,Time_30,Segment_31,Time_31,Segment_32,Time_32,Segment_33,Time_33,Segment_34,Time_34,Segment_35,Time_35
PAT012,DRD-VR-Slow,slow,DRD-VGN,14,VGN-BOR,7,BOR-UOI,5,UOI-PLG,6,PLG-KLV,16,KLV-SAH,5,SAH-VGN,7,VGN-VR,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT013,BVI-BYR-Slow,slow,BVI-DMU,3,DMU-BYR,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT014,VR-DDR-Fast,fast,VR-BSR,9,BSR-BYR,9,BYR-BVI,12,BVI-ADH,15,ADH-BA,9,BA-DDR,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT015,VR-DDR-Slow,slow,VR-NAI,6,NAI-BSR,4,BSR-JNL,3,JNL-BYR,3,BYR-DMU,4,DMU-BVI,3,BVI-KILE,2,KILE-MLND,3,MLND-GMN,3,GMN-JOS,3,JOS-ADH,4,ADH-VLP,3,VLP-STC,3,STC-KHAR,3,KHAR-BA,3,BA-MPL,3,MPL-MOM,2,MOM-DDR,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT016,BVI-JNL-Slow,slow,BVI-DMU,3,DMU-BYR,4,BYR-NAI,3,NAI-BSR,4,BSR-JNL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT017,CCG-BSR-Fast,fast,CCG-MEL,3,MEL-DDR,6,DDR-BA,5,BA-ADH,9,ADH-BVI,15,BVI-BYR,12,BYR-BSR,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT018,CCG-VR-Fast,fast,CCG-MEL,3,MEL-DDR,6,DDR-BA,5,BA-ADH,9,ADH-BVI,15,BVI-BYR,12,BYR-BSR,9,BSR-VR,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT019,CCG-VR-Slow,slow,CCG-GTR,2,GTR-CHG,2,CHG-MCT,2,MCT-MSD,3,MSD-LPD,3,LPD-ELR,2,ELR-DDR,3,DDR-MOM,3,MOM-MPL,2,MPL-BA,3,BA-KHAR,3,KHAR-STC,3,STC-VLP,3,VLP-ADH,3,ADH-JOS,4,JOS-GMN,3,GMN-MLND,3,MLND-KILE,2,KILE-DMU,3,DMU-BVI,3,BVI-BYR,4,BYR-NAI,3,NAI-BSR,4,BSR-JNL,3,JNL-VR,6,,,,,,,,,,,,,,,,,,,,
PAT020,ADH-VR-Fast,fast,ADH-BVI,15,BVI-BYR,12,BYR-BSR,9,BSR-VR,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT021,ADH-VR-Slow,slow,ADH-JOS,4,JOS-GMN,3,GMN-MLND,3,MLND-KILE,2,KILE-DMU,3,DMU-BVI,3,BVI-BYR,4,BYR-NAI,3,NAI-BSR,4,BSR-JNL,3,JNL-VR,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT022,BA-VR-Slow,slow,BA-KHAR,3,KHAR-STC,3,STC-VLP,3,VLP-ADH,3,ADH-JOS,4,JOS-GMN,3,GMN-MLND,3,MLND-KILE,2,KILE-DMU,3,DMU-BVI,3,BVI-BYR,4,BYR-NAI,3,NAI-BSR,4,BSR-JNL,3,JNL-VR,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT023,DDR-VR-Fast,fast,DDR-BA,5,BA-ADH,9,ADH-BVI,15,BVI-BYR,12,BYR-BSR,9,BSR-VR,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT024,DDR-VR-Slow,slow,DDR-MOM,3,MOM-MPL,2,MPL-BA,3,BA-KHAR,3,KHAR-STC,3,STC-VLP,3,VLP-ADH,3,ADH-JOS,4,JOS-GMN,3,GMN-MLND,3,MLND-KILE,2,KILE-DMU,3,DMU-BVI,3,BVI-BYR,4,BYR-NAI,3,NAI-BSR,4,BSR-JNL,3,JNL-VR,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT025,BSR-ADH-Fast,fast,BSR-BYR,9,BYR-BVI,12,BVI-ADH,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT026,BSR-ADH-Slow,slow,BSR-JNL,3,JNL-BYR,3,BYR-DMU,4,DMU-BVI,3,BVI-KILE,2,KILE-MLND,3,MLND-GMN,3,GMN-JOS,3,JOS-ADH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT027,VR-BA-Slow,slow,VR-NAI,6,NAI-BSR,4,BSR-JNL,3,JNL-BYR,3,BYR-DMU,4,DMU-BVI,3,BVI-KILE,2,KILE-MLND,3,MLND-GMN,3,GMN-JOS,3,JOS-ADH,4,ADH-VLP,3,VLP-STC,3,STC-KHAR,3,KHAR-BA,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT028,DDR-BVI-Slow,slow,DDR-MOM,3,MOM-MPL,2,MPL-BA,3,BA-KHAR,3,KHAR-STC,3,STC-VLP,3,VLP-ADH,3,ADH-JOS,4,JOS-GMN,3,GMN-MLND,3,MLND-KILE,2,KILE-DMU,3,DMU-BVI,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA029,BA-BVI-Slow,slow,BA-KHAR,3,KHAR-STC,3,STC-VLP,3,VLP-ADH,3,ADH-JOS,4,JOS-GMN,3,GMN-MLND,3,MLND-KILE,2,KILE-DMU,3,DMU-BVI,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT030,BSR-BVI-Slow,slow,BSR-JNL,3,JNL-BYR,3,BYR-DMU,4,DMU-BVI,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT031,JNL-BVI-Slow,slow,JNL-BYR,3,BYR-DMU,4,DMU-BVI,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT032,JNL-BA-Slow,slow,JNL-BYR,3,BYR-DMU,4,DMU-BVI,3,BVI-KILE,2,KILE-MLND,3,MLND-GMN,3,GMN-JOS,3,JOS-ADH,4,ADH-VLP,3,VLP-STC,3,STC-KHAR,3,KHAR-BA,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT033,BYR-DDR-Fast,fast,BYR-BVI,12,BVI-ADH,15,ADH-BA,9,BA-DDR,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT034,DDR-BYR-Fast,fast,DDR-BA,5,BA-ADH,9,ADH-BVI,15,BVI-BYR,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT035,LPD-VR-Fast,fast,LPD-DDR,3,DDR-BA,5,BA-ADH,9,ADH-BVI,15,BVI-BYR,12,BYR-BSR,9,BSR-VR,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT036,ADH-BYR-Fast,fast,ADH-BVI,15,BVI-BYR,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT037,MSD-BVI-Slow,slow,MSD-LPD,3,LPD-ELR,2,ELR-DDR,3,DDR-MOM,3,MOM-MPL,2,MPL-BA,3,BA-KHAR,3,KHAR-STC,3,STC-VLP,3,VLP-ADH,3,ADH-JOS,4,JOS-GMN,3,GMN-MLND,3,MLND-KILE,2,KILE-DMU,3,DMU-BVI,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT038,ADH-BVI-Slow,slow,ADH-JOS,4,JOS-GMN,3,GMN-MLND,3,MLND-KILE,2,KILE-DMU,3,DMU-BVI,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT039,BSR-CCG-Fast,fast,BSR-BYR,9,BYR-BVI,12,BVI-ADH,15,ADH-BA,9,BA-DDR,5,DDR-MEL,6,MEL-CCG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT040,CCG-BSR-Fast,fast,CCG-MEL,3,MEL-DDR,6,DDR-BA,5,BA-ADH,9,ADH-BVI,15,BVI-BYR,12,BYR-BSR,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT041,CCG-ADH-Slow,slow,CCG-GTR,2,GTR-CHG,2,CHG-MCT,2,MCT-MSD,3,MSD-LPD,3,LPD-ELR,2,ELR-DDR,3,DDR-MOM,3,MOM-MPL,2,MPL-BA,3,BA-KHAR,3,KHAR-STC,3,STC-VLP,3,VLP-ADH,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT042,VR-ADH-Slow,slow,VR-NAI,6,NAI-BSR,4,BSR-JNL,3,JNL-BYR,3,BYR-DMU,4,DMU-BVI,3,BVI-KILE,2,KILE-MLND,3,MLND-GMN,3,GMN-JOS,3,JOS-ADH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT043,CCG-BVI-Slow,slow,CCG-GTR,2,GTR-CHG,2,CHG-MCT,2,MCT-MSD,3,MSD-LPD,3,LPD-ELR,2,ELR-DDR,3,DDR-MOM,3,MOM-MPL,2,MPL-BA,3,BA-KHAR,3,KHAR-STC,3,STC-VLP,3,VLP-ADH,3,ADH-JOS,4,JOS-GMN,3,GMN-MLND,3,MLND-KILE,2,KILE-DMU,3,DMU-BVI,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT044,CCG-BVI-Fast,fast,CCG-MEL,3,MEL-DDR,6,DDR-BA,5,BA-ADH,9,ADH-BVI,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT045,VR-BA-Fast,fast,VR-BSR,9,BSR-BYR,9,BYR-BVI,12,BVI-ADH,15,ADH-BA,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT046,VR-BA-Slow,slow,VR-NAI,6,NAI-BSR,4,BSR-JNL,3,JNL-BYR,3,BYR-DMU,4,DMU-BVI,3,BVI-KILE,2,KILE-MLND,3,MLND-GMN,3,GMN-JOS,3,JOS-ADH,4,ADH-VLP,3,VLP-STC,3,STC-KHAR,3,KHAR-BA,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT047,CCG-BA-Slow,slow,CCG-GTR,2,GTR-CHG,2,CHG-MCT,2,MCT-MSD,3,MSD-LPD,3,LPD-ELR,2,ELR-DDR,3,DDR-MOM,3,MOM-MPL,2,MPL-BA,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT048,CCG-BYR-Fast,fast,CCG-MEL,3,MEL-DDR,6,DDR-BA,5,BA-ADH,9,ADH-BVI,15,BVI-BYR,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT049,VR-BVI-Slow,slow,VR-NAI,6,NAI-BSR,4,BSR-JNL,3,JNL-BYR,3,BYR-DMU,4,DMU-BVI,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT050,BVI-VR-Slow,slow,BVI-DMU,3,DMU-BYR,4,BYR-NAI,3,NAI-BSR,4,BSR-JNL,3,JNL-VR,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT051,BVI-VR-Fast,fast,BVI-BYR,12,BYR-BSR,9,BSR-VR,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT052,BVI-CCG-Fast,fast,BVI-ADH,15,ADH-BA,9,BA-DDR,5,DDR-MEL,6,MEL-CCG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT053,BVI-CCG-Slow,slow,BVI-DMU,3,DMU-KILE,2,KILE-MLND,3,MLND-GMN,3,GMN-JOS,3,JOS-ADH,4,ADH-VLP,3,VLP-STC,3,STC-KHAR,3,KHAR-BA,3,BA-MPL,3,MPL-MOM,2,MOM-DDR,3,DDR-ELR,3,ELR-LPD,2,LPD-MSD,3,MSD-MCT,3,MCT-CHG,2,CHG-GTR,2,GTR-CCG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT054,VR-CCG-Fast,fast,VR-BSR,9,BSR-BYR,9,BYR-BVI,12,BVI-ADH,15,ADH-BA,9,BA-DDR,5,DDR-MEL,6,MEL-CCG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT055,VR-CCG-Slow,slow,VR-NAI,6,NAI-BSR,4,BSR-JNL,3,JNL-BYR,3,BYR-DMU,4,DMU-BVI,3,BVI-KILE,2,KILE-MLND,3,MLND-GMN,3,GMN-JOS,3,JOS-ADH,4,ADH-VLP,3,VLP-STC,3,STC-KHAR,3,KHAR-BA,3,BA-MPL,3,MPL-MOM,2,MOM-DDR,3,DDR-ELR,3,ELR-LPD,2,LPD-MSD,3,MSD-MCT,3,MCT-CHG,2,CHG-GTR,2,GTR-CCG,2,,,,,,,,,,,,,,,,,,,,
PAT056,BYR-CCG-Fast,fast,BYR-BVI,12,BVI-ADH,15,ADH-BA,9,BA-DDR,5,DDR-MEL,6,MEL-CCG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT057,BYR-CCG-Slow,slow,BYR-DMU,4,DMU-BVI,3,BVI-KILE,2,KILE-MLND,3,MLND-GMN,3,GMN-JOS,3,JOS-ADH,4,ADH-VLP,3,VLP-STC,3,STC-KHAR,3,KHAR-BA,3,BA-MPL,3,MPL-MOM,2,MOM-DDR,3,DDR-ELR,3,ELR-LPD,2,LPD-MSD,3,MSD-MCT,3,MCT-CHG,2,CHG-GTR,2,GTR-CCG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT058,ADH-CCG-Fast,fast,ADH-BA,9,BA-DDR,5,DDR-MEL,6,MEL-CCG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT059,ADH-CCG-Slow,slow,ADH-VLP,3,VLP-STC,3,STC-KHAR,3,KHAR-BA,3,BA-MPL,3,MPL-MOM,2,MOM-DDR,3,DDR-ELR,3,ELR-LPD,2,LPD-MSD,3,MSD-MCT,3,MCT-CHG,2,CHG-GTR,2,GTR-CCG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT060,MLND-CCG-Fast,fast,MLND-ADH,12,ADH-BA,9,BA-DDR,5,DDR-MEL,6,MEL-CCG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT061,BA-CCG-Slow,slow,BA-MPL,3,MPL-MOM,2,MOM-DDR,3,DDR-ELR,3,ELR-LPD,2,LPD-MSD,3,MSD-MCT,3,MCT-CHG,2,CHG-GTR,2,GTR-CCG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT062,DDR-BVI-Fast,fast,DDR-BA,5,BA-ADH,9,ADH-BVI,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT063,BVI-BSR-Slow,slow,BVI-DMU,3,DMU-BYR,4,BYR-NAI,3,NAI-BSR,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT064,BVI-BSR-Fast,fast,BVI-BYR,12,BYR-BSR,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT065,VR-ADH-Fast,fast,VR-BSR,9,BSR-BYR,9,BYR-BVI,12,BVI-ADH,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT066,VR-ADH-Slow,slow,VR-NAI,6,NAI-BSR,4,BSR-JNL,3,JNL-BYR,3,BYR-DMU,4,DMU-BVI,3,BVI-KILE,2,KILE-MLND,3,MLND-GMN,3,GMN-JOS,3,JOS-ADH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT067,BSR-ADH-Fast,fast,BSR-BYR,9,BYR-BVI,12,BVI-ADH,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT068,BSR-ADH-Slow,slow,BSR-JNL,3,JNL-BYR,3,BYR-DMU,4,DMU-BVI,3,BVI-KILE,2,KILE-MLND,3,MLND-GMN,3,GMN-JOS,3,JOS-ADH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT069,ADH-BSR-Fast,fast,ADH-BVI,15,BVI-BYR,12,BYR-BSR,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT070,BYR-ADH-Fast,fast,BYR-BVI,12,BVI-ADH,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT071,BYR-ADH-Slow,slow,BYR-DMU,4,DMU-BVI,3,BVI-KILE,2,KILE-MLND,3,MLND-GMN,3,GMN-JOS,3,JOS-ADH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
